country,source,source_line_of_business,standard_line_of_business,lob_group,notes,source_norm,source_line_of_business_norm,standard_line_of_business_norm
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Vidrios,VIDRIOS,PROPERTY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,VIDRIOS,VIDRIOS
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,DECENAL,DECENAL,ENGINEERING / CONSTRUCTION,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,DECENAL,DECENAL
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Decenal,DECENAL,ENGINEERING / CONSTRUCTION,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,DECENAL,DECENAL
COLOMBIA,FASECOLDA - CIUDADES Y RAMOS,BEPS,BEPS,LIFE / SOCIAL SECURITY,Mapping inicial Colombia,FASECOLDA - CIUDADES Y RAMOS,BEPS,BEPS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,BEPS,BEPS,LIFE / SOCIAL SECURITY,Mapping inicial Colombia,FASECOLDA - INDICADORES DE GESTION,BEPS,BEPS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Accidentes P,ACCIDENTES PERSONALES,PERSONAL ACCIDENT,Fuente disponible en Indicadores de Gestión,FASECOLDA - INDICADORES DE GESTION,ACCIDENTES P,ACCIDENTES PERSONALES
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Otros Daños,OTROS DAÑOS,OTHER P&C,Ramo agregado / revisar duplicidad,FASECOLDA - INDICADORES DE GESTION,OTROS DAÑOS,OTROS DAÑOS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Otros Personas,OTROS PERSONAS,OTHER LIFE / HEALTH,Ramo agregado / revisar duplicidad,FASECOLDA - INDICADORES DE GESTION,OTROS PERSONAS,OTROS PERSONAS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Total daños,TOTAL DAÑOS,AGGREGATE,No usar en rankings junto con ramos individuales,FASECOLDA - INDICADORES DE GESTION,TOTAL DAÑOS,TOTAL DAÑOS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Total personas,TOTAL PERSONAS,AGGREGATE,No usar en rankings junto con ramos individuales,FASECOLDA - INDICADORES DE GESTION,TOTAL PERSONAS,TOTAL PERSONAS
COLOMBIA,FASECOLDA - INDICADORES DE GESTION,Total Seguridad Social,TOTAL SEGURIDAD SOCIAL,AGGREGATE,No usar en rankings junto con ramos individuales,FASECOLDA - INDICADORES DE GESTION,TOTAL SEGURIDAD SOCIAL,TOTAL SEGURIDAD SOCIAL
